source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
101,101,True,,1080.0353879564016,-387.650163938353,1014.3703265129375,-0.23470442585469392,0.20519486222691027,0.9501625655643869,-0.8979298586808359,0.32864104996673155,-0.29277470718314863,-0.37233828889013376,-0.9218948577752475,0.1071170846967176
102,102,True,,1081.9577540943558,-387.0295196830169,1013.8085214800558,-0.23123159562259243,0.21482889112033418,0.9488838162419241,-0.9006219060697672,0.3216324023944097,-0.29228886403224447,-0.36798387395793486,-0.9221719716354473,0.11910803179006278
103,103,True,,1083.4568679401523,-388.85527707197383,1013.2025257903178,-0.22951173372153372,0.22257515265914926,0.9475149948696813,-0.9078122553762072,0.302118066601933,-0.2908635123584153,-0.3510003889925193,-0.9269223134931355,0.13271681007179847
104,104,True,,1084.345058095641,-394.23657589214366,1012.6607621676241,-0.23042381667212056,0.2276444424850911,0.9460881948930051,-0.9205432185721738,0.26417777513635154,-0.2877677637693118,-0.3154442065580474,-0.937223618422871,0.14868369654842653
105,105,True,,1085.2956675414396,-397.3884166989536,1012.3571303313738,-0.23075566428623762,0.23288025058280062,0.9447320320007728,-0.9285434056027891,0.23746496540381126,-0.28533757922387465,-0.2907902462452815,-0.943067961015673,0.1614430351373197
106,106,True,,1086.7010318228654,-396.8756742911343,1012.0344006187776,-0.2291961638434718,0.24007710367800403,0.9433091236540742,-0.9307164326717186,0.22971612094436358,-0.2846004668532797,-0.28501936852478416,-0.9431826377048379,0.1707936518078991
107,107,True,,1088.2164521307795,-396.3208137082957,1011.698711409483,-0.22739555531237865,0.24778057787960003,0.9417515843627906,-0.9327993297382544,0.22224898576715113,-0.2837090036733697,-0.279600915349071,-0.9429794131109779,0.18059112543211397
108,108,True,,1089.6905013649935,-395.55088247810676,1011.3826611688557,-0.22550348366182354,0.25521293038481224,0.9402204736234894,-0.9345596372495293,0.21596519059756666,-0.2827672556612326,-0.2752207537240059,-0.9424571059812503,0.1898108008123785
109,109,True,,1090.66447343769,-398.00005007717397,1011.1045057815445,-0.22528619362507654,0.26031006319332456,0.9388742205227557,-0.9405847748005114,0.19317471590531943,-0.27925581560349017,-0.25405985982715945,-0.9460032770213782,0.20132408571608504
110,110,True,,1091.2260305323632,-402.6403422030919,1011.0172927649065,-0.22642935782847548,0.2634795854213019,0.9377143776116493,-0.9485793716586728,0.15897604051557782,-0.2737221112837376,-0.22119430728891207,-0.9514752369915931,0.2139344568197702
111,111,True,,1091.9952385750858,-404.74173511592534,1010.9651184738144,-0.22679454496468793,0.2675745873398743,0.936465735937069,-0.9529198809167552,0.13773566928664593,-0.2701343850007937,-0.2012658314962017,-0.953641822497344,0.2237394454629913
112,112,True,,1092.9764677513836,-404.7965789712087,1010.8461890997152,-0.22644441781552682,0.2726348003561635,0.9350899375327179,-0.954921236611812,0.12706086406939962,-0.2682926922033199,-0.19195926002137775,-0.9536906219821459,0.2315725373081891
113,113,True,,1094.0325324476855,-404.2974262034819,1010.7006870609192,-0.22576758034248068,0.2780143878824535,0.9336685706377003,-0.9563420755360218,0.1193230830422807,-0.26678050230993033,-0.18557703043683862,-0.9531369271954737,0.2389375729989216
